,คำนำหน้าชื่อ,ชื่อ,สกุล,พรรค,"เริ่มทำงานสภาสมัยนี้ในฐานะสมาชิกพรรค
 (YYYY-MM-DD)"
id,title,name,lastname,party,established_date
390,นางสาว,ศุภมาส,อิศรภักดี,ภูมิใจไทย,2562-03-24
391,นางสาว,สกุณา,สาระนันท์,เพื่อไทย,2562-03-24
392,ดร.,สงคราม,กิจเลิศไพโรจน์,เพื่อชาติ,2562-03-24
393,นาย,สงวน,พงษ์มณี,เพื่อไทย,2562-03-24
394,นาย,สนอง,เทพอักษรณรงค์,ภูมิใจไทย,2562-03-24
395,นาย,สมเกียรติ,ไชยวิสุทธิกุล,ก้าวไกล,2562-03-24
396,นาย,สมเกียรติ,ถนอมสินธุ์,ก้าวไกล,2562-03-24
397,นาย,สมเกียรติ,วอนเพียร,พลังประชารัฐ,2562-03-24
398,นาง,นันทนา,สงฆ์ประชา,ประชาภิวัฒน์,2562-03-24
399,นาย,สมคิด,เชื้อคง,เพื่อไทย,2562-03-24
400,นาย,สมเจตน์,ลิมปะพันธุ์,ภูมิใจไทย,2562-03-24
401,นาย,สมชาติ,ประดิษฐพร,ประชาธิปัตย์,2562-03-24
402,นาย,สมชาย,ฝั่งชลจิตร,ก้าวไกล,2562-03-24
403,พลเอก,สมชาย,วิษณุวงศ์,พลังประชารัฐ,2562-03-24
404,นาย,สมบัติ,ศรีสุรินทร์,เพื่อไทย,2562-03-24
405,นาย,สมบัติ,อำนาคะ,พลังประชารัฐ,2562-03-24
406,นาย,สมบูรณ์,ซารัมย์,ภูมิใจไทย,2562-03-24
407,นาย,สมพงษ์,โสภณ,พลังประชารัฐ,2562-03-24
408,นาย,สมพงษ์,อมรวิวัฒน์,เพื่อไทย,2562-03-24
409,นาย,สมมุติ,เบ็ญจลักษณ์,ประชาชาติ,2562-03-24
410,นาย,สมศักดิ์,เทพสุทิน,พลังประชารัฐ,2562-03-24
411,นาย,สมศักดิ์,พันธ์เกษม,ภูมิใจไทย,2562-03-24
412,นาง,สมหญิง,บัวบุตร,เพื่อไทย,2562-03-24
413,นาย,สมัคร,ป้องวงษ์,ชาติพัฒนา,2562-03-24
414,นาย,สยาม,หัตถสงเคราะห์,เพื่อไทย,2562-03-24
415,นาย,สรชัด,สุจิตต์,ชาติไทยพัฒนา,2562-03-24
